month,counts_2020,Total_Rain_2020,counts_2021,Total_Rain_2021,counts_2022,Total_Rain_2022
2020-01-31,705,0,125,36.45,289,31.30990827
2020-02-28,213,0,154,0,801,10.78355243
2020-03-31,475,11.75283062,206,0,1002,33.11292227
2020-04-30,945,51.2474215,232,0,1077,79.28792028
2020-05-31,2800,57.84047454,351,19.49624356,1351,26.81097695
2020-06-30,1034,170.4542335,1768,36.95891748,747,71.37352145
2020-07-31,637,316.4023918,482,200.3060728,768,193.1023032
2020-08-31,457,427.4726208,469,281.5815597,0,0
2020-09-30,399,537.5195139,232,353.4475512,0,0
2020-10-31,404,112.0657147,1170,337.5233544,0,0
2020-11-30,279,30.97619068,241,61.29543934,0,0
2020-12-31,302,51.75,378,32.77987004,0,0
